datacopy2\1\9584.txt 1
datacopy2\1\9843.txt 1
datacopy2\1\6913.txt 1
datacopy2\1\6413.txt 1
datacopy2\1\6748.txt 1
datacopy2\1\4511.txt 1
datacopy2\1\9375.txt 1
datacopy2\1\3270.txt 1
datacopy2\1\2448.txt 1
datacopy2\1\5803.txt 1
datacopy2\1\9519.txt 1
datacopy2\1\3831.txt 1
datacopy2\1\2757.txt 1
datacopy2\1\7195.txt 1
datacopy2\1\5952.txt 1
datacopy2\1\4165.txt 1
datacopy2\1\1808.txt 1
datacopy2\1\3933.txt 1
datacopy2\2\5583.txt 2
datacopy2\2\8671.txt 2
datacopy2\2\4917.txt 2
datacopy2\2\6183.txt 2
datacopy2\2\266.txt 2
datacopy2\2\1207.txt 2
datacopy2\2\2232.txt 2
datacopy2\2\5187.txt 2
datacopy2\2\9020.txt 2
datacopy2\2\3924.txt 2
datacopy2\2\7850.txt 2
datacopy2\3\5702.txt 3
datacopy2\3\5696.txt 3
datacopy2\3\2688.txt 3
datacopy2\3\8240.txt 3
datacopy2\3\6114.txt 3
datacopy2\3\1874.txt 3
datacopy2\3\4296.txt 3
datacopy2\3\1909.txt 3
datacopy2\3\230.txt 3
datacopy2\3\3170.txt 3
datacopy2\3\6363.txt 3
datacopy2\3\3954.txt 3
datacopy2\3\2113.txt 3
datacopy2\3\3177.txt 3
datacopy2\3\5141.txt 3
datacopy2\3\8025.txt 3
datacopy2\3\9922.txt 3
datacopy2\3\3841.txt 3
datacopy2\3\909.txt 3
datacopy2\3\1252.txt 3
datacopy2\3\711.txt 3
datacopy2\3\2680.txt 3
datacopy2\3\8061.txt 3
datacopy2\3\5674.txt 3
datacopy2\3\4240.txt 3
datacopy2\3\252.txt 3
datacopy2\3\1761.txt 3
datacopy2\3\3929.txt 3
datacopy2\3\899.txt 3
datacopy2\3\1151.txt 3
datacopy2\3\3696.txt 3
datacopy2\3\3387.txt 3
datacopy2\3\3915.txt 3
datacopy2\3\9954.txt 3
datacopy2\3\7893.txt 3
datacopy2\3\6078.txt 3
datacopy2\3\7912.txt 3
datacopy2\3\5544.txt 3
datacopy2\3\5859.txt 3
datacopy2\3\949.txt 3
datacopy2\3\7435.txt 3
datacopy2\3\8293.txt 3
datacopy2\3\465.txt 3
datacopy2\3\7839.txt 3
datacopy2\3\8970.txt 3
datacopy2\3\8797.txt 3
datacopy2\3\1671.txt 3
datacopy2\3\6074.txt 3
datacopy2\3\6380.txt 3
datacopy2\3\8114.txt 3
datacopy2\3\9854.txt 3
datacopy2\3\9807.txt 3
datacopy2\3\6911.txt 3
datacopy2\3\5556.txt 3
datacopy2\3\3539.txt 3
datacopy2\3\2981.txt 3
datacopy2\3\4668.txt 3
datacopy2\3\2758.txt 3
datacopy2\3\6228.txt 3
datacopy2\3\2260.txt 3
datacopy2\3\6689.txt 3
datacopy2\3\7334.txt 3
datacopy2\3\5022.txt 3
datacopy2\3\3827.txt 3
datacopy2\3\1963.txt 3
datacopy2\3\596.txt 3
datacopy2\3\6265.txt 3
datacopy2\4\366.txt 4
datacopy2\4\2535.txt 4
datacopy2\4\8871.txt 4
datacopy2\4\8287.txt 4
datacopy2\4\5005.txt 4
datacopy2\4\9092.txt 4
datacopy2\4\294.txt 4
datacopy2\4\8441.txt 4
datacopy2\4\8124.txt 4
datacopy2\4\4519.txt 4
datacopy2\4\3601.txt 4
datacopy2\4\1026.txt 4
datacopy2\4\5051.txt 4
datacopy2\4\958.txt 4
datacopy2\4\6466.txt 4
datacopy2\4\2268.txt 4
datacopy2\4\6821.txt 4
datacopy2\4\5722.txt 4
datacopy2\4\5584.txt 4
datacopy2\4\6864.txt 4
datacopy2\4\17.txt 4
datacopy2\4\6645.txt 4
datacopy2\4\2360.txt 4
datacopy2\4\6094.txt 4
datacopy2\4\2056.txt 4
datacopy2\4\4863.txt 4
datacopy2\4\5525.txt 4
datacopy2\4\7665.txt 4
datacopy2\4\6594.txt 4
datacopy2\4\428.txt 4
datacopy2\4\7582.txt 4
datacopy2\4\2741.txt 4
datacopy2\4\3277.txt 4
datacopy2\4\5371.txt 4
datacopy2\4\2207.txt 4
datacopy2\4\6188.txt 4
datacopy2\4\6935.txt 4
datacopy2\4\7307.txt 4
datacopy2\4\4508.txt 4
datacopy2\4\2748.txt 4
datacopy2\4\1150.txt 4
datacopy2\4\131.txt 4
datacopy2\4\8335.txt 4
datacopy2\4\7085.txt 4
datacopy2\4\986.txt 4
datacopy2\4\9989.txt 4
datacopy2\4\3417.txt 4
datacopy2\4\7794.txt 4
datacopy2\4\3200.txt 4
datacopy2\4\4699.txt 4
datacopy2\4\1510.txt 4
datacopy2\4\8752.txt 4
datacopy2\4\4169.txt 4
datacopy2\4\4066.txt 4
datacopy2\4\5358.txt 4
datacopy2\4\1740.txt 4
datacopy2\4\7127.txt 4
datacopy2\4\4417.txt 4
datacopy2\4\5857.txt 4
datacopy2\4\42.txt 4
datacopy2\4\1506.txt 4
datacopy2\4\8225.txt 4
datacopy2\4\2980.txt 4
datacopy2\4\5327.txt 4
datacopy2\4\5158.txt 4
datacopy2\4\2467.txt 4
datacopy2\4\140.txt 4
datacopy2\4\9581.txt 4
datacopy2\4\2607.txt 4
datacopy2\4\3849.txt 4
datacopy2\4\7279.txt 4
datacopy2\4\8792.txt 4
datacopy2\4\4925.txt 4
datacopy2\4\7163.txt 4
datacopy2\4\4975.txt 4
datacopy2\4\7928.txt 4
datacopy2\4\8837.txt 4
datacopy2\4\3773.txt 4
datacopy2\4\3776.txt 4
datacopy2\4\4865.txt 4
datacopy2\4\508.txt 4
datacopy2\4\5128.txt 4
datacopy2\4\8144.txt 4
datacopy2\4\855.txt 4
datacopy2\4\8431.txt 4
datacopy2\4\7565.txt 4
datacopy2\4\9444.txt 4
datacopy2\4\1913.txt 4
datacopy2\4\8436.txt 4
datacopy2\4\1526.txt 4
datacopy2\4\8049.txt 4
datacopy2\4\5321.txt 4
datacopy2\4\236.txt 4
datacopy2\4\8958.txt 4
datacopy2\4\2717.txt 4
datacopy2\4\578.txt 4
datacopy2\4\7015.txt 4
datacopy2\4\3566.txt 4
datacopy2\4\5111.txt 4
datacopy2\4\8623.txt 4
datacopy2\4\1669.txt 4
datacopy2\4\8678.txt 4
datacopy2\4\7851.txt 4
datacopy2\4\5686.txt 4
datacopy2\4\6266.txt 4
datacopy2\4\5246.txt 4
datacopy2\4\7399.txt 4
datacopy2\4\6292.txt 4
datacopy2\4\1699.txt 4
datacopy2\4\9660.txt 4
datacopy2\4\424.txt 4
datacopy2\4\1779.txt 4
datacopy2\4\9180.txt 4
datacopy2\4\5836.txt 4
datacopy2\4\4432.txt 4
datacopy2\4\3391.txt 4
datacopy2\4\980.txt 4
datacopy2\4\9536.txt 4
datacopy2\4\1948.txt 4
datacopy2\4\5295.txt 4
datacopy2\4\3358.txt 4
datacopy2\4\8947.txt 4
datacopy2\4\1244.txt 4
datacopy2\4\7179.txt 4
datacopy2\4\642.txt 4
datacopy2\4\6818.txt 4
datacopy2\4\7883.txt 4
datacopy2\4\7149.txt 4
datacopy2\4\9793.txt 4
datacopy2\4\8539.txt 4
datacopy2\4\6505.txt 4
datacopy2\4\8512.txt 4
datacopy2\4\6649.txt 4
